"","AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"876","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4070","File Clerks","broad",85460,3.2,NA,NA,NA,NA,"17.7","36820","0.7","11.53","14","17.48","22","23.65","23980","29120","36360","45760","49190",NA,NA
"877","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4071","File Clerks","detailed",85460,3.2,NA,NA,NA,NA,"17.7","36820","0.7","11.53","14","17.48","22","23.65","23980","29120","36360","45760","49190",NA,NA
"878","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4080","Hotel, Motel, and Resort Desk Clerks","broad",220380,1,NA,NA,NA,NA,"13.48","28040","0.4","10.31","11.02","13.5","14.28","17.54","21440","22910","28080","29700","36470",NA,NA
"879","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4081","Hotel, Motel, and Resort Desk Clerks","detailed",220380,1,NA,NA,NA,NA,"13.48","28040","0.4","10.31","11.02","13.5","14.28","17.54","21440","22910","28080","29700","36470",NA,NA
"880","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4110","Interviewers, Except Eligibility and Loan","broad",169840,1.3,NA,NA,NA,NA,"18.670000000000002","38840","0.3","13.78","14.44","17.89","22.22","24.23","28650","30020","37220","46210","50400",NA,NA
"881","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4111","Interviewers, Except Eligibility and Loan","detailed",169840,1.3,NA,NA,NA,NA,"18.670000000000002","38840","0.3","13.78","14.44","17.89","22.22","24.23","28650","30020","37220","46210","50400",NA,NA
"882","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4120","Library Assistants, Clerical","broad",78470,2.1,NA,NA,NA,NA,"15.62","32490","0.4","10.71","11.5","14.16","17.88","22.6","22270","23910","29450","37200","47000",NA,NA
"883","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4121","Library Assistants, Clerical","detailed",78470,2.1,NA,NA,NA,NA,"15.62","32490","0.4","10.71","11.5","14.16","17.88","22.6","22270","23910","29450","37200","47000",NA,NA
"884","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4130","Loan Interviewers and Clerks","broad",238610,1.2,NA,NA,NA,NA,"21.59","44910","0.4","14.33","17.79","22.09","23.63","29.27","29800","37000","45940","49140","60870",NA,NA
"885","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4131","Loan Interviewers and Clerks","detailed",238610,1.2,NA,NA,NA,NA,"21.59","44910","0.4","14.33","17.79","22.09","23.63","29.27","29800","37000","45940","49140","60870",NA,NA
"886","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4140","New Accounts Clerks","broad",40500,3.5,NA,NA,NA,NA,"19.829999999999998","41250","1","14.23","17.47","18.190000000000001","22.58","24.88","29600","36340","37840","46960","51750",NA,NA
"887","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4141","New Accounts Clerks","detailed",40500,3.5,NA,NA,NA,NA,"19.829999999999998","41250","1","14.23","17.47","18.190000000000001","22.58","24.88","29600","36340","37840","46960","51750",NA,NA
"888","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4150","Order Clerks","broad",133850,2.4,NA,NA,NA,NA,"20.11","41820","0.7","13.81","14.44","18.23","22.94","28.66","28730","30040","37920","47700","59620",NA,NA
"889","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4151","Order Clerks","detailed",133850,2.4,NA,NA,NA,NA,"20.11","41820","0.7","13.81","14.44","18.23","22.94","28.66","28730","30040","37920","47700","59620",NA,NA
"890","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4160","Human Resources Assistants, Except Payroll and Timekeeping","broad",102770,1.3,NA,NA,NA,NA,"21.56","44840","0.4","14.37","17.88","21.94","23.58","29.18","29890","37180","45630","49050","60680",NA,NA
"891","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","detailed",102770,1.3,NA,NA,NA,NA,"21.56","44840","0.4","14.37","17.88","21.94","23.58","29.18","29890","37180","45630","49050","60680",NA,NA
"892","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4170","Receptionists and Information Clerks","broad",983150,0.6,NA,NA,NA,NA,"15.82","32910","0.2","11.08","13.66","14.4","17.78","22","23050","28420","29950","36980","45760",NA,NA
"893","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4171","Receptionists and Information Clerks","detailed",983150,0.6,NA,NA,NA,NA,"15.82","32910","0.2","11.08","13.66","14.4","17.78","22","23050","28420","29950","36980","45760",NA,NA
"894","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4180","Reservation and Transportation Ticket Agents and Travel Clerks","broad",100860,1.5,NA,NA,NA,NA,"21.94","45630","0.4","14","14.76","19.18","28.73","33.369999999999997","29110","30690","39900","59770","69420",NA,NA
"895","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4181","Reservation and Transportation Ticket Agents and Travel Clerks","detailed",100860,1.5,NA,NA,NA,NA,"21.94","45630","0.4","14","14.76","19.18","28.73","33.369999999999997","29110","30690","39900","59770","69420",NA,NA
"896","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4190","Miscellaneous Information and Record Clerks","broad",155080,1,NA,NA,NA,NA,"21.13","43950","0.3","13.95","16.63","20.75","24.28","29.14","29010","34590","43160","50500","60610",NA,NA
"897","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4199","Information and Record Clerks, All Other","detailed",155080,1,NA,NA,NA,NA,"21.13","43950","0.3","13.95","16.63","20.75","24.28","29.14","29010","34590","43160","50500","60610",NA,NA
"898","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5000","Material Recording, Scheduling, Dispatching, and Distributing Workers","minor",2213750,0.3,NA,NA,NA,NA,"21.97","45710","0.1","14.03","17.34","20.21","26.63","32.32","29180","36070","42030","55390","67230",NA,NA
"899","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5010","Cargo and Freight Agents","broad",85750,2.2,NA,NA,NA,NA,"23.28","48420","1.1000000000000001","14.43","17.8","22.55","28.55","33.39","30020","37020","46910","59380","69450",NA,NA
"900","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5011","Cargo and Freight Agents","detailed",85750,2.2,NA,NA,NA,NA,"23.28","48420","1.1000000000000001","14.43","17.8","22.55","28.55","33.39","30020","37020","46910","59380","69450",NA,NA
"901","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5020","Couriers and Messengers","broad",68310,3.6,NA,NA,NA,NA,"16.48","34270","0.6","11.47","13.92","15.89","18","22.22","23850","28960","33050","37440","46220",NA,NA
"902","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5021","Couriers and Messengers","detailed",68310,3.6,NA,NA,NA,NA,"16.48","34270","0.6","11.47","13.92","15.89","18","22.22","23850","28960","33050","37440","46220",NA,NA
"903","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5030","Dispatchers","broad",291380,0.9,NA,NA,NA,NA,"22.49","46780","0.3","14.03","17.53","21.88","27.29","33.46","29180","36470","45510","56760","69590",NA,NA
"904","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5031","Public Safety Telecommunicators","detailed",97050,1.2,NA,NA,NA,NA,"22.61","47030","0.4","14.1","17.739999999999998","22.44","28.54","30.74","29340","36890","46670","59360","63940",NA,NA
"905","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5032","Dispatchers, Except Police, Fire, and Ambulance","detailed",194330,1.1,NA,NA,NA,NA,"22.43","46650","0.4","14","17.11","21.18","26.61","34.369999999999997","29120","35590","44050","55340","71480",NA,NA
"906","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5040","Meter Readers, Utilities","broad",24000,2.8,NA,NA,NA,NA,"22.81","47430","0.8","13.8","15.77","21.98","28.86","36.5","28690","32790","45720","60020","75920",NA,NA
"907","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5041","Meter Readers, Utilities","detailed",24000,2.8,NA,NA,NA,NA,"22.81","47430","0.8","13.8","15.77","21.98","28.86","36.5","28690","32790","45720","60020","75920",NA,NA
"908","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5050","Postal Service Workers","broad",527000,0,NA,NA,NA,NA,"25.71","53480","0","18.690000000000001","19.059999999999999","24.87","31.49","32.32","38880","39640","51730","65500","67230",NA,NA
"909","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5051","Postal Service Clerks","detailed",79320,0,NA,NA,NA,NA,"25.58","53210","0","18.690000000000001","22.15","25.14","30.87","31.49","38880","46070","52290","64210","65500",NA,NA
"910","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5052","Postal Service Mail Carriers","detailed",335540,0,NA,NA,NA,NA,"26.14","54370","0","19.059999999999999","19.059999999999999","25.21","32.32","33","39640","39640","52440","67230","68640",NA,NA
"911","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","detailed",112130,0.1,NA,NA,NA,NA,"24.52","51010","0","17.34","18.690000000000001","23.34","30.74","30.87","36070","38880","48550","63940","64210",NA,NA
"912","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5060","Production, Planning, and Expediting Clerks","broad",367200,0.8,NA,NA,NA,NA,"25.11","52220","0.3","15.17","18.3","23.1","29.25","36.75","31550","38060","48040","60840","76440",NA,NA
"913","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5061","Production, Planning, and Expediting Clerks","detailed",367200,0.8,NA,NA,NA,NA,"25.11","52220","0.3","15.17","18.3","23.1","29.25","36.75","31550","38060","48040","60840","76440",NA,NA
"914","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5070","Shipping, Receiving, and Inventory Clerks","broad",795360,0.7,NA,NA,NA,NA,"18.37","38210","0.2","13.38","14.35","17.739999999999998","21.97","24.29","27830","29840","36890","45710","50520",NA,NA
"915","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5071","Shipping, Receiving, and Inventory Clerks","detailed",795360,0.7,NA,NA,NA,NA,"18.37","38210","0.2","13.38","14.35","17.739999999999998","21.97","24.29","27830","29840","36890","45710","50520",NA,NA
"916","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5110","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","broad",54760,1.7,NA,NA,NA,NA,"19.010000000000002","39540","0.5","13.88","14.53","18.079999999999998","22.5","23.95","28860","30210","37610","46810","49810",NA,NA
"917","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","detailed",54760,1.7,NA,NA,NA,NA,"19.010000000000002","39540","0.5","13.88","14.53","18.079999999999998","22.5","23.95","28860","30210","37610","46810","49810",NA,NA
"918","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6000","Secretaries and Administrative Assistants","minor",3104790,0.5,NA,NA,NA,NA,"21.76","45250","0.1","13.9","16.600000000000001","19.079999999999998","23.88","30.34","28920","34520","39680","49680","63100",NA,NA
"919","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6010","Secretaries and Administrative Assistants","broad",3104790,0.5,NA,NA,NA,NA,"21.76","45250","0.1","13.9","16.600000000000001","19.079999999999998","23.88","30.34","28920","34520","39680","49680","63100",NA,NA
"920","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6011","Executive Secretaries and Executive Administrative Assistants","detailed",466910,1.1,NA,NA,NA,NA,"32.15","66870","0.3","18.57","23.43","29.84","37.549999999999997","47.25","38620","48720","62060","78110","98280",NA,NA
"921","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6012","Legal Secretaries and Administrative Assistants","detailed",155250,2.5,NA,NA,NA,NA,"25.26","52540","0.9","14.31","18.059999999999999","22.94","29.61","37.43","29770","37560","47710","61590","77850",NA,NA
"922","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6013","Medical Secretaries and Administrative Assistants","detailed",656640,0.9,NA,NA,NA,NA,"19.11","39740","0.3","13.96","14.77","18.010000000000002","22.39","25.78","29040","30710","37450","46570","53630",NA,NA
"923","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","detailed",1825980,0.5,NA,NA,NA,NA,"19.75","41080","0.1","13.56","14.52","18.21","22.87","28.61","28200","30210","37880","47570","59500",NA,NA
"924","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9000","Other Office and Administrative Support Workers","minor",3254180,0.4,NA,NA,NA,NA,"18.98","39480","0.1","11.47","14.24","17.88","22.6","28.49","23870","29630","37180","47010","59250",NA,NA
