id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
f54ecc925a83afa1b35da63cde84faef,1065280,NFLX,TED SARANDOS,Co-Chief Executive Officer and Chief Content Officer,2021,20000000,0,0,0,0,0,38232164,
555d669f9f429b1e346c40d69e1fdd59,1065280,NFLX,SPENCER NEUMANN,Chief Financial Officer,2021,6000000,0,0,0,0,0,12510696,
63d2daaf63830f1c2af8880f2deb47d4,1065280,NFLX,REED HASTINGS,"Co-Chief Executive Officer, President, and Chairperson of the Board",2021,650000,0,0,0,0,0,40823725,
146a735ac035adab747aabb237b05794,1065280,NFLX,RACHEL WHETSTONE,Chief Communications Officer,2021,4750000,0,0,0,0,0,5329418,
9b9c4af08df7ba0de9e8c5c969d6d2a4,1065280,NFLX,GREG PETERS,Chief Operating Officer and Chief Product Officer,2021,12000000,0,0,0,0,0,20371393,
b471dab40db3fdbcfe8a3931d2948fe3,1065280,NFLX,DAVID HYMAN,Chief Legal Officer,2021,4725000,0,0,0,0,0,10177573,
342280af1cb3ef534531e545f5d3c6cf,1065280,NFLX,Rachel Whetstone,Chief Communications Officer,2020,4800000,0,0,0,0,0,5356099,0.0
b25ba4b121edf349c4eac9c0dd5c2fca,1065280,NFLX,SPENCER NEUMANN,Chief Financial Officer,2020,6050000,0,0,6865017,0,24134,12939151,
ea14b7930e61fe58cd450aae12ec6771,1065280,NFLX,DAVID HYMAN,Chief Legal Officer,2020,5500000,0,0,4956023,0,13324,10469347,
1564a41ca66346d847dac86a699f0fe6,1065280,NFLX,David Hyman,Chief Legal Officer,2020,5500000,0,0,0,0,0,10469347,0.0
e8372904a1e3ddb89db662e5f3665b71,1065280,NFLX,TED SARANDOS,Co-Chief Executive Officer and Chief Content Officer,2020,20000000,0,0,18304124,0,1014127,39318251,
bf87c4aad9d3ef4704926b2a73961a82,1065280,NFLX,RACHEL WHETSTONE,Chief Communications Officer,2020,4800000,0,0,555929,0,170,5356099,
24523a462f2dc5cde47a12db228b6b36,1065280,NFLX,Spencer Neumann,Chief Financial Officer,2020,6050000,0,0,0,0,0,12939151,0.0
b30f4c4bd2edeb9100fce73eb0ceebc1,1065280,NFLX,REED HASTINGS,"Co-Chief Executive Officer, President, and Chairperson of the Board",2020,650000,0,0,42428878,0,147146,43226024,
99f3fbcc6c5312a25edb20edc9bff049,1065280,NFLX,GREG PETERS,Chief Operating Officer and Chief Product Officer,2020,12000000,0,0,8664337,0,141658,20805995,
50a462781aa0e7e70dcb54532bbedd89,1065280,NFLX,Reed Hastings,"Co-Chief Executive Officer, President, and Chairman of the Board",2020,650000,0,0,0,0,0,43226024,0.0
23b9c5855694f45420225ec65cedb4ec,1065280,NFLX,Ted Sarandos,Co-Chief Executive Officer and Chief Content Officer,2020,20000000,0,0,0,0,0,39318251,0.0
3fcd90534cfa6ade6e66bc16f3a9300f,1065280,NFLX,Greg Peters,Chief Operating Officer and Chief Product Officer,2020,12000000,0,0,0,0,0,20805995,0.0
f2206be7d0221093cbd0c1943db03571,1065280,NFLX,REED HASTINGS,"Co-Chief Executive Officer, President, and Chairperson of the Board",2019,700000,0,0,37411492,0,465637,38577129,
79129bd9410c1158fafc07e9754f31de,1065280,NFLX,TED SARANDOS,Co-Chief Executive Officer and Chief Content Officer,2019,18000000,0,0,16575902,0,98497,34674399,
f6333b93f436bb33023a8772c23d2264,1065280,NFLX,GREG PETERS,Chief Operating Officer and Chief Product Officer,2019,10000000,0,0,8287734,0,340976,18628710,
2a7d156c326c6b926bf0b53e5a6de56b,1065280,NFLX,David Hyman,Chief Legal Officer,2019,3500000,0,0,4643129,0,15550,8158679,0.0
44d756d81a0aabaf522894b396db7894,1065280,NFLX,DAVID HYMAN,Chief Legal Officer,2019,3500000,0,0,4643129,0,15550,8158679,
03cff9a79e516028292aed5245835a90,1065280,NFLX,Spencer Neumann,Chief Financial Officer,2019,4981693,1700000,0,5272020,0,29008,11982721,0.0
c0c615d8f4fe3f2bed6ca38ea835634c,1065280,NFLX,SPENCER NEUMANN,Chief Financial Officer,2019,4981693,1700000,0,5272020,0,29008,11982721,
a59522ae32e50ab7acb01671b18f6b16,1065280,NFLX,Greg Peters,Chief Product Officer,2019,10000000,0,0,8287734,0,340976,18628710,0.0
d188dd9953a3858a901edcb46f89b538,1065280,NFLX,Kelly Bennett,Former Chief Marketing Officer,2019,3234615,0,0,702806,0,5287099,9224520,0.0
3bda81711caec32f63cde5c70d407e6b,1065280,NFLX,Reed Hastings,"Chief Executive Officer, President, Chairman of the Board",2019,700000,0,0,37411492,0,465637,38577129,0.0
3bd0e6c03890f3fd2af1c970660dc3db,1065280,NFLX,Ted Sarandos,Chief Content Officer,2019,18000000,0,0,16575902,0,98497,34674399,0.0
f0305b72e98d89b10bd2412c8c5a5c88,1065280,NFLX,David Wells,Former Chief Financial Officer,2019,365385,0,0,260975,0,4506222,5132582,0.0
e9b4dd6130db0015cfe131531fdc5026,1065280,NFLX,David Hyman,Chief Legal Officer,2018,2500000,0,0,0,0,0,6426400,0.0
33f0f19a77673c12ec62704221c2ced6,1065280,NFLX,David Wells,Chief Financial Officer,2018,2800000,0,0,3030461,0,8250,5838711,
f83baabb9d139375145e1b4b7cf2bcb1,1065280,NFLX,Kelly Bennett,Chief Marketing Officer,2018,5284616,0,0,1124402,0,47550,6456568,
9f57f4927536ffa335c0e6422b90c6fb,1065280,NFLX,Reed Hastings,"Chief Executive Officer, President, Chairman of the Board",2018,700000,0,0,35380417,0,0,36080417,
c20d2cb67cede483efda6df2db9b1d6b,1065280,NFLX,Ted Sarandos,Chief Content Officer,2018,12000000,0,0,17615220,0,32251,29647471,
6955718e905e7624ffebfe4c8ed10f9f,1065280,NFLX,Greg Peters,Chief Product Officer,2018,6000000,0,0,7985902,0,832687,14818589,
d51203ae0ecd8d0c447b49d77a47e55d,1065280,NFLX,David Hyman,General Counsel,2017,1761538,0,0,1435074,1608000,309027,5113639,0.0
84c28e5a650efdfe09ed99e2fdcd10a2,1065280,NFLX,Ted Sarandos,Chief Content Officer,2017,1000000,0,0,12389532,9045000,8100,22442632,0.0
486bc7d7db3769c0f9e4cbbd48b2f2fc,1065280,NFLX,David Wells,Chief Financial Officer,2017,2500000,0,0,2127673,0,553641,5181314,0.0
8002c6e1fc62331adaa19bf10604a59b,1065280,NFLX,Reed Hastings,"Chief Executive Officer, President, Chairman of the Board",2017,850000,0,0,23527499,0,0,24377499,0.0
3fc8cb572eec36187ebc19ca2feec81b,1065280,NFLX,Neil Hunt,former Chief Product Officer,2017,576923,0,0,1315595,2613000,6465600,10971118,0.0
4d01547f33b3ea91550635a8327427a0,1065280,NFLX,Greg Peters,Chief Product Officer,2017,1000000,0,0,3725022,2763750,1748718,9237490,0.0
67c30816149fd64dec86ed7f934752a4,1065280,NFLX,Neil Hunt,Chief Product Officer,2016,1000000,0,0,2549204,5250000,23944,8823148,
560c7f29209aacc0cf81937a64b140e7,1065280,NFLX,Ted Sarandos,Chief Content Officer,2016,1000000,0,0,13917568,4000000,21532,18939100,
07e4576568e6f313d588ecc95493abde,1065280,NFLX,David Wells,Chief Financial Officer,2016,2400000,0,0,2145314,0,1566375,6111689,
9fe69b690d7abd244594044c98bf01e9,1065280,NFLX,Reed Hastings,"Chief Executive Officer, President, Chairman of the Board",2016,900000,0,0,22277733,0,16834,23194567,
419f4871697a776ccc57e99aa10ebdce,1065280,NFLX,Greg Peters,International Development Officer,2016,1000000,0,0,3869152,1500000,1675765,8044917,
5295b59c51cd23a4537cc4a82b300048,1065280,NFLX,Reed Hastings,"Chief Executive Officer, President, Chairman of the Board",2015,1115385,0,0,15496797,0,16832,16629014,
6c2df866f3560f967fec7bbb53f02140,1065280,NFLX,Neil Hunt,Chief Product Officer,2015,1067308,0,0,2368693,4987500,23942,8447443,
d098206497b07e2c5945d34e43072512,1065280,NFLX,Greg Peters,International Development Officer,2015,1038462,0,0,3156900,997500,429724,5622586,
81e1c5a12b3e36f0770b0cb0e37afbab,1065280,NFLX,Ted Sarandos,Chief Content Officer,2015,1107692,0,0,10877040,1995000,22030,14001762,
